MAVLink 2 参数协议读写记录
开始时间: 2026-07-07 15:57:05
监听端口: UDP 14551
========================================================================
[输出] 日志文件: my_param_log.txt
[连接] 正在监听: udpin:0.0.0.0:14551
[连接] 等待 HEARTBEAT（请确认 SITL 已启动且 --out 包含 14551）...
[连接] 已收到心跳 | target_system=1, target_component=0
[参数] 发送 param_request_list() 请求全部参数...
[参数] 飞控报告参数总数: 1339
[参数] 实际收到 1339 个参数
[参数] 全部参数列表（按名称排序）：
------------------------------------------------------------------------
    序号  参数名                          值    类型
    76  ATC_THR_MIX_MIN            0.1     9
    77  AUTOTUNE_AGGR              0.1     9
    78  AUTOTUNE_AXES                7     2
    79  AUTOTUNE_MIN_D           0.001     9
    80  AUTO_OPTIONS                 0     6
    81  AVD_ENABLE                   0     2
    82  AVOID_ACCEL_MAX              3     9
    83  AVOID_ALT_MIN                0     9
    84  AVOID_ANGLE_MAX           1000     4
    85  AVOID_BACKUP_DZ            0.1     9
    86  AVOID_BACKUP_SPD          0.75     9
    87  AVOID_BEHAVE                 0     2
    88  AVOID_DIST_MAX               5     9
    89  AVOID_ENABLE                 3     2
    90  AVOID_MARGIN                 2     9
    91  BARO1_DEVID              65540     6
    92  BARO1_GND_PRESS         101022     9
    93  BARO1_WCF_ENABLE             0     2
    94  BARO2_DEVID              65796     6
    95  BARO2_GND_PRESS         101023     9
    96  BARO2_WCF_ENABLE             0     2
    97  BARO3_DEVID                  0     6
    98  BARO3_GND_PRESS              0     9
    99  BARO3_WCF_ENABLE             0     2
   100  BARO_ALTERR_MAX           2000     9
   101  BARO_ALT_OFFSET              0     9
   102  BARO_EXT_BUS                -1     2
   103  BARO_FIELD_ELV               0     9
   104  BARO_FLTR_RNG                0     2
   105  BARO_GND_TEMP                0     9
   106  BARO_OPTIONS                 0     4
   107  BARO_PRIMARY                 0     2
   108  BARO_PROBE_EXT               0     6
   109  BATT2_MONITOR                0     2
   110  BATT3_MONITOR                0     2
   111  BATT4_MONITOR                0     2
   112  BATT5_MONITOR                0     2
   113  BATT6_MONITOR                0     2
   114  BATT7_MONITOR                0     2
   115  BATT8_MONITOR                0     2
   116  BATT9_MONITOR                0     2
   117  BATT_AMP_OFFSET              0     9
   118  BATT_AMP_PERVLT             17     9
   119  BATT_ARM_MAH                 0     6
   120  BATT_ARM_VOLT                0     9
   121  BATT_CAPACITY             3300     6
   122  BATT_CRT_MAH                 0     9
   123  BATT_CRT_VOLT                0     9
   124  BATT_CURR_PIN               12     2
   125  BATT_FS_CRT_ACT              0     2
   126  BATT_FS_LOW_ACT              0     2
   127  BATT_FS_VOLTSRC              0     2
   128  BATT_LOW_MAH                 0     9
   129  BATT_LOW_TIMER              10     2
   130  BATT_LOW_VOLT             10.5     9
   131  BATT_MONITOR                 4     2
   132  BATT_OPTIONS                 0     6
   133  BATT_SERIAL_NUM             -1     6
   134  BATT_VLT_OFFSET              0     9
   135  BATT_VOLT_MULT            10.1     9
   136  BATT_VOLT_PIN               13     2
   137  BCN_TYPE                     0     2
   138  BRD_BOOT_DELAY               0     4
   139  BRD_OPTIONS                  0     6
   140  BRD_RTC_TYPES                1     2
   141  BRD_RTC_TZ_MIN               0     4
   142  BRD_SAFETYOPTION             3     4
   143  BRD_SAFETY_DEFLT             0     2
   144  BRD_SAFETY_MASK          16368     6
   145  BRD_SD_MISSION               0     4
   146  BRD_SERIAL_NUM               0     6
   147  BRD_VBUS_MIN               4.3     9
   148  BRD_VSERVO_MIN               0     9
   149  BTN_ENABLE                   0     2
   150  CAM1_TYPE                    0     2
   151  CAM2_TYPE                    0     2
   152  CAM_AUTO_ONLY                0     2
   153  CAM_MAX_ROLL                 0     4
   154  CAM_RC_TYPE                  0     2
   155  CAN_D1_PROTOCOL              1     2
   156  CAN_D2_PROTOCOL              1     2
   157  CAN_LOGLEVEL                 0     2
   158  CAN_P1_DRIVER                0     2
   159  CAN_P2_DRIVER                0     2
   160  CAN_SLCAN_CPORT              0     2
   161  CAN_SLCAN_SDELAY             1     2
   162  CAN_SLCAN_SERNUM            -1     2
   163  CAN_SLCAN_TIMOUT             0     2
   164  CC_TYPE                      0     2
   165  CHUTE_ENABLED                0     2
   166  CIRCLE_OPTIONS               1     4
   167  CIRCLE_RADIUS             1000     9
   168  CIRCLE_RATE                 20     9
   169  COMPASS_AUTODEC              1     2
   170  COMPASS_AUTO_ROT             2     2
   171  COMPASS_CAL_FIT             16     9
   172  COMPASS_DEC           0.223357     9
   173  COMPASS_DEV_ID           97539     6
   174  COMPASS_DEV_ID2         131874     6
   175  COMPASS_DEV_ID3         263178     6
   176  COMPASS_DEV_ID4          97283     6
   177  COMPASS_DEV_ID5          97795     6
   178  COMPASS_DEV_ID6          98051     6
   179  COMPASS_DEV_ID7              0     6
   180  COMPASS_DEV_ID8              0     6
   181  COMPASS_DIA2_X               1     9
   182  COMPASS_DIA2_Y               1     9
   183  COMPASS_DIA2_Z               1     9
   184  COMPASS_DIA3_X               1     9
   185  COMPASS_DIA3_Y               1     9
   186  COMPASS_DIA3_Z               1     9
   187  COMPASS_DIA_X                1     9
   188  COMPASS_DIA_Y                1     9
   189  COMPASS_DIA_Z                1     9
   190  COMPASS_ENABLE               1     2
   191  COMPASS_EXTERN2              0     2
   192  COMPASS_EXTERN3              0     2
   193  COMPASS_EXTERNAL             1     2
   194  COMPASS_FLTR_RNG             0     2
   195  COMPASS_LEARN                0     2
   196  COMPASS_MOT2_X               0     9
   197  COMPASS_MOT2_Y               0     9
   198  COMPASS_MOT2_Z               0     9
   199  COMPASS_MOT3_X               0     9
   200  COMPASS_MOT3_Y               0     9
   201  COMPASS_MOT3_Z               0     9
   202  COMPASS_MOTCT                0     2
   203  COMPASS_MOT_X                0     9
   204  COMPASS_MOT_Y                0     9
   205  COMPASS_MOT_Z                0     9
   206  COMPASS_ODI2_X               0     9
   207  COMPASS_ODI2_Y               0     9
   208  COMPASS_ODI2_Z               0     9
   209  COMPASS_ODI3_X               0     9
   210  COMPASS_ODI3_Y               0     9
   211  COMPASS_ODI3_Z               0     9
   212  COMPASS_ODI_X                0     9
   213  COMPASS_ODI_Y                0     9
   214  COMPASS_ODI_Z                0     9
   215  COMPASS_OFFS_MAX          1800     4
   216  COMPASS_OFS2_X               5     9
   217  COMPASS_OFS2_Y              13     9
   218  COMPASS_OFS2_Z             -18     9
   219  COMPASS_OFS3_X               5     9
   220  COMPASS_OFS3_Y              13     9
   221  COMPASS_OFS3_Z             -18     9
   222  COMPASS_OFS_X                5     9
   223  COMPASS_OFS_Y               13     9
   224  COMPASS_OFS_Z              -18     9
   225  COMPASS_OPTIONS              0     4
   226  COMPASS_ORIENT               0     2
   227  COMPASS_ORIENT2              0     2
   228  COMPASS_ORIENT3              0     2
   229  COMPASS_PMOT_EN              0     2
   230  COMPASS_PRIO1_ID         97539     6
   231  COMPASS_PRIO2_ID        131874     6
   232  COMPASS_PRIO3_ID        263178     6
   233  COMPASS_SCALE                1     9
   234  COMPASS_SCALE2               1     9
   235  COMPASS_SCALE3               1     9
   236  COMPASS_TYPEMASK             0     6
   237  COMPASS_USE                  1     2
   238  COMPASS_USE2                 1     2
   239  COMPASS_USE3                 1     2
   240  CUST_ROT_ENABLE              0     2
   241  DEV_OPTIONS                  0     6
   242  DID_ENABLE                   0     2
   243  DISARM_DELAY                10     2
   244  EAHRS_TYPE                   0     2
   245  EFI_TYPE                     0     2
   246  EK2_ENABLE                   0     2
   247  EK3_ABIAS_P_NSE           0.02     9
   248  EK3_ACC_BIAS_LIM             1     9
   249  EK3_ACC_P_NSE             0.35     9
   250  EK3_AFFINITY                 0     6
   251  EK3_ALT_M_NSE                2     9
   252  EK3_BCN_DELAY               50     2
   253  EK3_BCN_I_GTE              500     4
   254  EK3_BCN_M_NSE                1     9
   255  EK3_BETA_MASK                0     2
   256  EK3_CHECK_SCALE            100     4
   257  EK3_DRAG_BCOEF_X             0     9
   258  EK3_DRAG_BCOEF_Y             0     9
   259  EK3_DRAG_MCOEF               0     9
   260  EK3_DRAG_M_NSE             0.5     9
   261  EK3_EAS_I_GATE             400     4
   262  EK3_EAS_M_NSE              1.4     9
   263  EK3_ENABLE                   1     2
   264  EK3_ERR_THRESH             0.2     9
   265  EK3_FLOW_DELAY              10     2
   266  EK3_FLOW_I_GATE            300     4
   267  EK3_FLOW_M_NSE            0.25     9
   268  EK3_FLOW_USE                 1     2
   269  EK3_GBIAS_P_NSE          0.001     9
   270  EK3_GLITCH_RAD              25     2
   271  EK3_GND_EFF_DZ               4     9
   272  EK3_GPS_CHECK               31     2
   273  EK3_GPS_VACC_MAX             0     9
   274  EK3_GSF_RST_MAX              2     2
   275  EK3_GSF_RUN_MASK             3     2
   276  EK3_GSF_USE_MASK             3     2
   277  EK3_GYRO_P_NSE           0.015     9
   278  EK3_HGT_DELAY               60     4
   279  EK3_HGT_I_GATE             500     4
   280  EK3_HRT_FILT                 2     9
   281  EK3_IMU_MASK                 3     2
   282  EK3_LOG_LEVEL                0     2
   283  EK3_MAGB_P_NSE          0.0001     9
   284  EK3_MAGE_P_NSE           0.001     9
   285  EK3_MAG_CAL                  3     2
   286  EK3_MAG_EF_LIM              50     4
   287  EK3_MAG_I_GATE             300     4
   288  EK3_MAG_MASK                 0     2
   289  EK3_MAG_M_NSE             0.05     9
   290  EK3_MAX_FLOW               2.5     9
   291  EK3_NOAID_M_NSE             10     9
   292  EK3_OGNM_TEST_SF             2     9
   293  EK3_OGN_HGT_MASK             0     2
   294  EK3_POSNE_M_NSE            0.5     9
   295  EK3_POS_I_GATE             500     4
   296  EK3_PRIMARY                  0     2
   297  EK3_RNG_I_GATE             500     4
   298  EK3_RNG_M_NSE              0.5     9
   299  EK3_RNG_USE_HGT             -1     2
   300  EK3_RNG_USE_SPD              2     9
   301  EK3_SRC1_POSXY               3     2
   302  EK3_SRC1_POSZ                1     2
   303  EK3_SRC1_VELXY               3     2
   304  EK3_SRC1_VELZ                3     2
   305  EK3_SRC1_YAW                 1     2
   306  EK3_SRC2_POSXY               0     2
   307  EK3_SRC2_POSZ                1     2
   308  EK3_SRC2_VELXY               0     2
   309  EK3_SRC2_VELZ                0     2
   310  EK3_SRC2_YAW                 0     2
   311  EK3_SRC3_POSXY               0     2
   312  EK3_SRC3_POSZ                1     2
   313  EK3_SRC3_VELXY               0     2
   314  EK3_SRC3_VELZ                0     2
   315  EK3_SRC3_YAW                 0     2
   316  EK3_SRC_OPTIONS              1     4
   317  EK3_TAU_OUTPUT              25     2
   318  EK3_TERR_GRAD              0.1     9
   319  EK3_VELD_M_NSE             0.5     9
   320  EK3_VELNE_M_NSE            0.3     9
   321  EK3_VEL_I_GATE             500     4
   322  EK3_VIS_VERR_MAX           0.9     9
   323  EK3_VIS_VERR_MIN           0.1     9
   324  EK3_WENC_VERR              0.1     9
   325  EK3_WIND_PSCALE              1     9
   326  EK3_WIND_P_NSE             0.2     9
   327  EK3_YAW_I_GATE             300     4
   328  EK3_YAW_M_NSE              0.5     9
   329  ESC_CALIBRATION              0     2
   330  ESC_TLM_MAV_OFS              0     2
   331  FENCE_ACTION                 1     2
   332  FENCE_ALT_MAX              100     9
   333  FENCE_ALT_MIN              -10     9
   334  FENCE_ENABLE                 0     2
   335  FENCE_MARGIN                 2     9
   336  FENCE_RADIUS               150     9
   337  FENCE_TOTAL                  0     2
   338  FENCE_TYPE                   7     2
   339  FFT_ENABLE                   0     2
   340  FHLD_BRAKE_RATE              8     2
   341  FHLD_FILT_HZ                 5     9
   342  FHLD_FLOW_MAX              0.6     9
   343  FHLD_QUAL_MIN               10     2
   344  FHLD_XY_FILT_HZ              5     9
   345  FHLD_XY_I                  0.3     9
   346  FHLD_XY_IMAX              3000     9
   347  FHLD_XY_P                  0.2     9
   348  FLIGHT_OPTIONS               0     6
   349  FLOW_TYPE                    0     2
   350  FLTMODE1                     7     2
   351  FLTMODE2                     9     2
   352  FLTMODE3                     6     2
   353  FLTMODE4                     3     2
   354  FLTMODE5                     5     2
   355  FLTMODE6                     0     2
   356  FLTMODE_CH                   5     2
   357  FOLL_ENABLE                  0     2
   358  FORMAT_VERSION             120     4
   359  FRAME_CLASS                  1     2
   360  FRAME_TYPE                   0     2
   361  FRSKY_DNLINK1_ID            20     2
   362  FRSKY_DNLINK2_ID             7     2
   363  FRSKY_DNLINK_ID             27     2
   364  FRSKY_OPTIONS                0     2
   365  FRSKY_UPLINK_ID             13     2
   366  FS_CRASH_CHECK               1     2
   367  FS_DR_ENABLE                 2     2
   368  FS_DR_TIMEOUT               30     4
   369  FS_EKF_ACTION                1     2
   370  FS_EKF_THRESH              0.8     9
   371  FS_GCS_ENABLE                0     2
   372  FS_GCS_TIMEOUT               5     9
   373  FS_OPTIONS                  16     6
   374  FS_THR_ENABLE                1     2
   375  FS_THR_VALUE               975     4
   376  FS_VIBE_ENABLE               1     2
   377  GCS_PID_MASK                 0     4
   378  GEN_TYPE                     0     2
   379  GND_EFFECT_COMP              1     2
   380  GPS1_CAN_OVRIDE              0     6
   381  GPS2_CAN_OVRIDE              0     6
   382  GPS_AUTO_CONFIG              1     2
   383  GPS_AUTO_SWITCH              1     2
   384  GPS_BLEND_MASK               5     2
   385  GPS_BLEND_TC                10     9
   386  GPS_CAN_NODEID1              0     6
   387  GPS_CAN_NODEID2              0     6
   388  GPS_COM_PORT                 1     2
   389  GPS_COM_PORT2                1     2
   390  GPS_DELAY_MS                 0     4
   391  GPS_DELAY_MS2                0     4
   392  GPS_DRV_OPTIONS              0     4
   393  GPS_GNSS_MODE                0     2
   394  GPS_GNSS_MODE2               0     2
   395  GPS_HDOP_GOOD              140     4
   396  GPS_INJECT_TO              127     2
   397  GPS_MB1_TYPE                 0     2
   398  GPS_MB2_TYPE                 0     2
   399  GPS_MIN_DGPS               100     2
   400  GPS_MIN_ELEV              -100     2
   401  GPS_NAVFILTER                8     2
   402  GPS_POS1_X                   0     9
   403  GPS_POS1_Y                   0     9
   404  GPS_POS1_Z                   0     9
   405  GPS_POS2_X                   0     9
   406  GPS_POS2_Y                   0     9
   407  GPS_POS2_Z                   0     9
   408  GPS_PRIMARY                  0     2
   409  GPS_RATE_MS                200     4
   410  GPS_RATE_MS2               200     4
   411  GPS_RAW_DATA                 0     2
   412  GPS_SAVE_CFG                 2     2
   413  GPS_SBAS_MODE                2     2
   414  GPS_SBP_LOGMASK           -256     4
   415  GPS_TYPE                     1     2
   416  GPS_TYPE2                    0     2
   417  GRIP_ENABLE                  0     2
   418  GUID_OPTIONS                 0     6
   419  GUID_TIMEOUT                 3     9
   420  INITIAL_MODE                 0     2
   421  INS_ACC1_CALTEMP          -300     9
   422  INS_ACC2OFFS_X           0.001     9
   423  INS_ACC2OFFS_Y           0.001     9
   424  INS_ACC2OFFS_Z           0.001     9
   425  INS_ACC2SCAL_X           1.001     9
   426  INS_ACC2SCAL_Y           1.001     9
   427  INS_ACC2SCAL_Z           1.001     9
   428  INS_ACC2_CALTEMP          -300     9
   429  INS_ACC2_ID        2.75304e+06     6
   430  INS_ACC3OFFS_X               0     9
   431  INS_ACC3OFFS_Y               0     9
   432  INS_ACC3OFFS_Z               0     9
   433  INS_ACC3SCAL_X               1     9
   434  INS_ACC3SCAL_Y               1     9
   435  INS_ACC3SCAL_Z               1     9
   436  INS_ACC3_CALTEMP          -300     9
   437  INS_ACC3_ID                  0     6
   438  INS_ACCEL_FILTER            20     4
   439  INS_ACCOFFS_X            0.001     9
   440  INS_ACCOFFS_Y            0.001     9
   441  INS_ACCOFFS_Z            0.001     9
   442  INS_ACCSCAL_X            1.001     9
   443  INS_ACCSCAL_Y            1.001     9
   444  INS_ACCSCAL_Z            1.001     9
   445  INS_ACC_BODYFIX              2     2
   446  INS_ACC_ID         2.75303e+06     6
   447  INS_ENABLE_MASK            127     2
   448  INS_FAST_SAMPLE              1     2
   449  INS_GYR1_CALTEMP       25.0183     9
   450  INS_GYR2OFFS_X     3.14612e-05     9
   451  INS_GYR2OFFS_Y    -1.32827e-05     9
   452  INS_GYR2OFFS_Z     2.31662e-05     9
   453  INS_GYR2_CALTEMP       25.0183     9
   454  INS_GYR2_ID        2.75278e+06     6
   455  INS_GYR3OFFS_X               0     9
   456  INS_GYR3OFFS_Y               0     9
   457  INS_GYR3OFFS_Z               0     9
   458  INS_GYR3_CALTEMP          -300     9
   459  INS_GYR3_ID                  0     6
   460  INS_GYROFFS_X      1.51277e-05     9
   461  INS_GYROFFS_Y      1.97012e-05     9
   462  INS_GYROFFS_Z      1.75116e-05     9
   463  INS_GYRO_FILTER             20     4
   464  INS_GYRO_RATE                0     2
   465  INS_GYR_CAL                  1     2
   466  INS_GYR_ID         2.75277e+06     6
   467  INS_HNTC2_ENABLE             0     2
   468  INS_HNTCH_ENABLE             0     2
   469  INS_LOG_BAT_CNT           1024     4
   470  INS_LOG_BAT_LGCT            32     4
   471  INS_LOG_BAT_LGIN            20     2
   472  INS_LOG_BAT_MASK             0     2
   473  INS_LOG_BAT_OPT              0     2
   474  INS_POS1_X                   0     9
   475  INS_POS1_Y                   0     9
   476  INS_POS1_Z                   0     9
   477  INS_POS2_X                   0     9
   478  INS_POS2_Y                   0     9
   479  INS_POS2_Z                   0     9
   480  INS_POS3_X                   0     9
   481  INS_POS3_Y                   0     9
   482  INS_POS3_Z                   0     9
   483  INS_STILL_THRESH           2.5     9
   484  INS_TCAL1_ENABLE             0     2
   485  INS_TCAL2_ENABLE             0     2
   486  INS_TCAL3_ENABLE             0     2
   487  INS_TCAL_OPTIONS             0     6
   488  INS_TRIM_OPTION              1     2
   489  INS_USE                      1     2
   490  INS_USE2                     1     2
   491  INS_USE3                     1     2
   492  LAND_ALT_LOW              1000     4
   493  LAND_REPOSITION              1     2
   494  LAND_SPEED                  50     4
   495  LAND_SPEED_HIGH              0     4
   496  LGR_ENABLE                   0     2
   497  LOG_BACKEND_TYPE             1     2
   498  LOG_BITMASK             176126     6
   499  LOG_BLK_RATEMAX              0     9
   500  LOG_DARM_RATEMAX             0     9
   501  LOG_DISARMED                 0     2
   502  LOG_FILE_BUFSIZE           200     4
   503  LOG_FILE_DSRMROT             0     2
   504  LOG_FILE_MB_FREE           500     4
   505  LOG_FILE_RATEMAX             0     9
   506  LOG_FILE_TIMEOUT             5     4
   507  LOG_MAV_BUFSIZE              8     2
   508  LOG_MAV_RATEMAX              0     9
   509  LOG_REPLAY                   0     2
   510  LOIT_ACC_MAX               500     9
   511  LOIT_ANG_MAX                 0     9
   512  LOIT_BRK_ACCEL             250     9
   513  LOIT_BRK_DELAY               1     9
   514  LOIT_BRK_JERK              500     9
   515  LOIT_SPEED                1250     9
   516  MIS_OPTIONS                  0     4
   517  MIS_RESTART                  0     2
   518  MIS_TOTAL                    9     4
   519  MNT1_TYPE                    0     2
   520  MNT2_TYPE                    0     2
   521  MOT_BAT_CURR_MAX             0     9
   522  MOT_BAT_CURR_TC              5     9
   523  MOT_BAT_IDX                  0     2
   524  MOT_BAT_VOLT_MAX          12.8     9
   525  MOT_BAT_VOLT_MIN           9.6     9
   526  MOT_BOOST_SCALE              0     9
   527  MOT_HOVER_LEARN              2     2
   528  MOT_PWM_MAX               2000     4
   529  MOT_PWM_MIN               1000     4
   530  MOT_PWM_TYPE                 0     2
   531  MOT_SAFE_DISARM              0     2
   532  MOT_SAFE_TIME                1     9
   533  MOT_SLEW_DN_TIME             0     9
   534  MOT_SLEW_UP_TIME             0     9
   535  MOT_SPIN_ARM               0.1     9
   536  MOT_SPIN_MAX              0.95     9
   537  MOT_SPIN_MIN              0.15     9
   538  MOT_SPOOL_TIME             0.5     9
   539  MOT_THST_EXPO             0.65     9
   540  MOT_THST_HOVER        0.343299     9
   541  MOT_YAW_HEADROOM           200     4
   542  MSP_OPTIONS                  0     2
   543  MSP_OSD_NCELLS               0     2
   544  NMEA_MSG_EN                  3     4
   545  NMEA_RATE_MS               100     4
   546  NTF_BUZZ_ON_LVL              1     2
   547  NTF_BUZZ_PIN                -1     2
   548  NTF_BUZZ_TYPES               5     2
   549  NTF_BUZZ_VOLUME            100     2
   550  NTF_DISPLAY_TYPE             0     2
   551  NTF_LED_BRIGHT               3     2
   552  NTF_LED_LEN                  1     2
   553  NTF_LED_OVERRIDE             0     2
   554  NTF_LED_TYPES           123079     6
   555  OA_TYPE                      0     2
   556  OSD_TYPE                     0     2
   557  PHLD_BRAKE_ANGLE          3000     4
   558  PHLD_BRAKE_RATE              8     4
   559  PILOT_ACCEL_Z              250     4
   560  PILOT_SPEED_DN               0     4
   561  PILOT_SPEED_UP             250     4
   562  PILOT_THR_BHV                0     4
   563  PILOT_THR_FILT               0     9
   564  PILOT_TKOFF_ALT              0     9
   565  PILOT_Y_EXPO                 0     9
   566  PILOT_Y_RATE             202.5     9
   567  PILOT_Y_RATE_TC              0     9
   568  PLDP_DELAY                   0     9
   569  PLDP_RNG_MIN                 0     9
   570  PLDP_SPEED_DN                0     9
   571  PLDP_THRESH                0.9     9
   572  PLND_ENABLED                 0     2
   573  PRX1_TYPE                    0     2
   574  PRX2_TYPE                    0     2
   575  PRX3_TYPE                    0     2
   576  PRX_ALT_MIN                  1     9
   577  PRX_FILT                  0.25     9
   578  PRX_IGN_GND                  0     2
   579  PRX_LOG_RAW                  0     2
   580  PSC_ACCZ_D                   0     9
   581  PSC_ACCZ_FF                  0     9
   582  PSC_ACCZ_FLTD                0     9
   583  PSC_ACCZ_FLTE               20     9
   584  PSC_ACCZ_FLTT                0     9
   585  PSC_ACCZ_I                   1     9
   586  PSC_ACCZ_IMAX              800     9
   587  PSC_ACCZ_P                 0.5     9
   588  PSC_ACCZ_SMAX                0     9
   589  PSC_ANGLE_MAX                0     9
   590  PSC_JERK_XY                  5     9
   591  PSC_JERK_Z                   5     9
   592  PSC_POSXY_P                  1     9
   593  PSC_POSZ_P                   1     9
   594  PSC_VELXY_D                0.5     9
   595  PSC_VELXY_FF                 0     9
   596  PSC_VELXY_FLTD               5     9
   597  PSC_VELXY_FLTE               5     9
   598  PSC_VELXY_I                  1     9
   599  PSC_VELXY_IMAX            1000     9
   600  PSC_VELXY_P                  2     9
   601  PSC_VELZ_D                   0     9
   602  PSC_VELZ_FF                  0     9
   603  PSC_VELZ_FLTD                5     9
   604  PSC_VELZ_FLTE                5     9
   605  PSC_VELZ_I                   0     9
   606  PSC_VELZ_IMAX             1000     9
   607  PSC_VELZ_P                   5     9
   608  RALLY_INCL_HOME              1     2
   609  RALLY_LIMIT_KM             0.3     9
   610  RALLY_TOTAL                  0     2
   611  RC10_DZ                      0     4
   612  RC10_MAX                  1900     4
   613  RC10_MIN                  1100     4
   614  RC10_OPTION                  0     4
   615  RC10_REVERSED                0     2
   616  RC10_TRIM                 1500     4
   617  RC11_DZ                      0     4
   618  RC11_MAX                  1900     4
   619  RC11_MIN                  1100     4
   620  RC11_OPTION                  0     4
   621  RC11_REVERSED                0     2
   622  RC11_TRIM                 1500     4
   623  RC12_DZ                      0     4
   624  RC12_MAX                  1900     4
   625  RC12_MIN                  1100     4
   626  RC12_OPTION                  0     4
   627  RC12_REVERSED                0     2
   628  RC12_TRIM                 1500     4
   629  RC13_DZ                      0     4
   630  RC13_MAX                  1900     4
   631  RC13_MIN                  1100     4
   632  RC13_OPTION                  0     4
   633  RC13_REVERSED                0     2
   634  RC13_TRIM                 1500     4
   635  RC14_DZ                      0     4
   636  RC14_MAX                  1900     4
   637  RC14_MIN                  1100     4
   638  RC14_OPTION                  0     4
   639  RC14_REVERSED                0     2
   640  RC14_TRIM                 1500     4
   641  RC15_DZ                      0     4
   642  RC15_MAX                  1900     4
   643  RC15_MIN                  1100     4
   644  RC15_OPTION                  0     4
   645  RC15_REVERSED                0     2
   646  RC15_TRIM                 1500     4
   647  RC16_DZ                      0     4
   648  RC16_MAX                  1900     4
   649  RC16_MIN                  1100     4
   650  RC16_OPTION                  0     4
   651  RC16_REVERSED                0     2
   652  RC16_TRIM                 1500     4
   653  RC1_DZ                      20     4
